textDisplay|classification_textblob
['desconocer', 'completamente', 'videojuego', 'vídeo', 'conmovido', 'brbrdesgraciado', 'afortunadamente', 'padezco', 'ansiedad', '21', 'septiembre', '2022', 'quedar', 'secuelo', 'haber', 'padecer', 'covid', 'sentimiento', 'parte', 'vídeo', 'canción', 'reverso', 'olvido', 'disociación', 'venir', 'ansiedad', 'brbrmuchas', 'gracias', 'video', 'bonito']|1
['venir', 'fuertebrauncar', 'si', 'sufrir', 'problema', 'psicologico', 'tal', 'pude', 'identificar yo', 'perfectamente', 'mucho', 'cosasbrmucha', 'vez', 'estreso', 'cualquiera', 'ridicul', 'mucho', 'miedo', 'situación', 'inquietante', 'tension', 'simple', 'apagar', 'prender', 'compu', 'caminar', 'pasillo', 'oscuro', 'lugar', 'solitario', 'aunque', 'sol', 'directo', '30', 'gradosbry', 'sentir yo', 'ahogado', 'poder', 'tranquilar', 'si', 'distraer', 'salon', 'clase', 'viendo', 'hablar', 'hacer', 'desespero', 'nisiqueír', 'amigo', 'padr', 'inventor', 'cambiado', 'colegio', 'dos', 'vez', 'haber', 'emigrar', 'portugal', 'seis', 'mes', 'venezolano', 'ahora', 'volvi', '3', 'mes', 'querer', 'volver', 'cambiar', 'colegio', 'pa', 'l', 'año', 'venir', 'caro', 'aunque', 'esperanza', 'alguno', 'gente', 'cercanabrllorar', 'casi', 'incluso', 'tener', 'razon', 'ahora', 'aunque', 'pasar', 'soltar', 'siquiera', 'lagrimabraveces', 'cuestionar', 'si', 'sufro', 'ansiedad', 'tratar', 'ignorar él', 'si', 'poner', 'decir', 'pensar', 'seria', 'autodiagnosticarmelobravez', 'tambien', 'recordar', 'cosa', 'pasado', 'hacer', 'mal', 'sentir', 'si', 'ligero', 'nudo', 'gargantabry', 'padre', 'entorno', 'ayudar', 'eh', 'vivir', 'experiencia', 'ejejebrnota', 'escribir', 'ojo', 'venir', 'fuerte', 'llevar', 'aunque', 'regaño', 'tanto', 'fuerte', 'padre', 'tener', 'compu', 'lento', 'di', 'pq', 'nescesitar', 'decir', 'hiba', 'desinstalar', 'hiba', 'estrellar', 'entro', 'miedo', 'panico', 'horrible', 'queria', 'nadie', 'ver', 'menos', 'conoscobrempeze', 'llorar', 'silenciosamente', 'tapandome', 'cara', 'camisa', 'hermanito', 'despues', 'volvi', 'cuarto', 'trate', 'calmame', 'recordar', 'ironicamente', 'hablar', 'tener', 'duda', 'ahora', 'dudar', 'sufro', 'solo', 'ser', 'sencible', 'ansiedad', 'algobrno', 'normal', 'haber', 'casi', 'llorado', 'tumbado', 'cama', '3', 'vez', 'escribir', 'normal', 'poder', 'controlar yo', 'normal', 'solo', 'querer', 'par', 'dia', 'escondiendome', 'llegar', 'cumplir', '18', 'poder', 'irme', 'vivir', 'solo', 'lejos', 'padre', 'almeno', 'hacer', 'gusta', 'pazbry', 'normal', 'abrazar yo', 'mismo', 'buscar', 'consuelo', 'alguien', 'aunque', 'yobrno', 'normal', 'sentir', 'volvere', 'ser', 'feliz', 'nunca', 'masbrperdon', 'queria', 'hablar', 'termine', 'desaogandome', 'completo', 'espero', 'entender']|1
['querer', 'celeste']|1
['genial', 'hablara', 'the', 'missing', 'jj', 'macfield', 'and', 'the', 'island', 'of', 'memoriesbrsiento', 'juego', 'infravalorado', 'conocido', 'merecer', 'pequeño', 'lugar', 'xd']|1
['necesitar', 'hagas', 'video', 'one', 'shot', 'serio', 'genial']|1
['conmover', 'video']|1
['pa', 'undertale', 'bv']|1
['video', 'personal']|1
['increíble', 'viaje', 'video', 'gracias', 'mostrarno', 'fabuloso', 'juego']|1
['juego', 'gay']|1
